Username,sentiment_sum,tweet_count
KirstineLorent1,0.19999999999999998,2
KoflerTim,-0.04464285714285714,1
KoinSaati,0.0,2
KongBTC,0.42499999999999993,3
Koning_Marc,-0.625,1
KostaKvothe,0.6250000000000001,1
KrassiElrond,-0.5,1
KriptoFena,0.13636363636363635,1
KriptoRaptor,0.0,1
Kritokunn,0.0,1
Kyle28010173,0.45,2
KyleB_Vitriolic,0.625,1
Kyle_Fox17,0.6,1
LE0xCrypto,0.16666666666666666,1
LIGMA_crypto,0.1875,1
LOReBitcoin,0.0,1
LaBarbeGeek,0.9,2
LaBonneDuCure42,0.06666666666666665,3
LaCryptoMonnai1,0.0,1
LalaJyotiranjan,0.1,1
Laoshera,-0.04583333333333334,1
Larnaz2,0.375,1
LaszloLegeny,0.5,1
LatestcryptoN,-0.125,1
Latgold,0.2,1
LaunayVinc,0.0,3
Law_Of_Crypto,0.225,1
LeCoiner,0.0,1
LeJOK5,0.0,1
LearningScout,0.0,1
Lebonez,0.0,1
LegoPunks,0.0,1
LendyB15,0.5,1
LeoTheCrack3,-0.625,3
LeslieisHODLing,0.0,1
Leu_mas_,0.3,1
Leyyweak,0.0,1
LibTekk,0.0,1
Libraryofmymin2,0.11770833333333333,1
LickAttack,-0.39285714285714285,1
LilMoonLambo,2.4668831168831167,14
LinkMarine5,0.28125,1
Livetradingnews,0.0,1
LlisahMarieGal,0.0,1
LoganAtWork,-0.2916666666666667,1
LoiUne,0.0,2
LoloCrypto,0.46875,1
Lolo_De_43,6.891666666666667,31
LoneSamuraiGirl,0.13333333333333333,2
Lonejav01315277,0.0,1
LongLongfld,0.0,1
